Wind Dir (°),Wind Spd (ms),Wind Gusts 1h (ms),Wave Height (m),Dominant Wave Period (s),Avg Wave Period (s),Dominant Wave Dir,Pressure,Air Temp,Water Temp,dewpoint,Date,Heure
20.0,7.0,10.0,,,,,1020.2,21.4,24.1,,03/02/2025,19:30
30.0,7.0,9.0,3.5,15.0,9.5,40.0,1020.3,21.5,24.1,,03/02/2025,19:20
20.0,7.0,10.0,3.5,,9.5,40.0,1020.1,21.4,24.1,,03/02/2025,19:10
20.0,7.0,9.0,,,,,1020.2,21.4,24.1,,03/02/2025,19:00
10.0,7.0,10.0,3.4,15.0,9.3,33.0,1020.1,21.3,24.1,,03/02/2025,18:50
20.0,8.0,10.0,3.4,,9.3,33.0,1020.2,21.4,24.1,,03/02/2025,18:40
10.0,7.0,9.0,,,,,1020.2,21.4,24.1,,03/02/2025,18:30
10.0,8.0,9.0,3.8,16.0,9.4,38.0,1020.2,21.4,24.1,,03/02/2025,18:20
20.0,8.0,10.0,3.8,,9.4,38.0,1020.1,21.3,24.1,,03/02/2025,18:10
20.0,8.0,11.0,,,,,1020.0,21.4,24.1,,03/02/2025,18:00
20.0,8.0,10.0,3.8,14.0,9.7,29.0,1019.9,21.4,24.1,,03/02/2025,17:50
20.0,7.0,9.0,3.8,,9.7,29.0,1019.8,21.3,24.1,,03/02/2025,17:40
20.0,8.0,10.0,,,,,1019.8,21.3,24.1,,03/02/2025,17:30
20.0,8.0,10.0,3.4,15.0,8.9,27.0,1019.8,21.4,24.1,,03/02/2025,17:20
20.0,8.0,11.0,3.4,,8.9,27.0,1019.7,21.4,24.1,,03/02/2025,17:10
10.0,8.0,10.0,,,,,1019.7,21.4,24.1,,03/02/2025,17:00
10.0,8.0,10.0,3.4,15.0,8.8,22.0,1019.7,21.5,24.1,,03/02/2025,16:50
10.0,8.0,11.0,3.4,,8.8,22.0,1019.5,21.5,24.1,,03/02/2025,16:40
10.0,9.0,12.0,,,,,1019.5,21.5,24.1,,03/02/2025,16:30
10.0,9.0,11.0,3.4,15.0,8.8,32.0,1019.5,21.5,24.1,,03/02/2025,16:20
10.0,9.0,11.0,3.4,,8.8,32.0,1019.4,21.6,24.1,,03/02/2025,16:10
10.0,9.0,12.0,,,,,1019.4,21.6,24.1,,03/02/2025,16:00
360.0,8.0,11.0,3.8,16.0,9.7,30.0,1019.3,21.7,24.1,,03/02/2025,15:50
10.0,9.0,11.0,3.8,,9.7,30.0,1019.3,21.6,24.1,,03/02/2025,15:40
10.0,9.0,12.0,,,,,1019.3,21.6,24.1,,03/02/2025,15:30
10.0,8.0,11.0,3.4,15.0,8.9,30.0,1019.2,21.7,24.1,,03/02/2025,15:20
10.0,8.0,11.0,3.4,,8.9,30.0,1019.1,21.7,24.1,,03/02/2025,15:10
10.0,8.0,11.0,,,,,1019.1,21.7,24.1,,03/02/2025,15:00
10.0,8.0,11.0,3.5,16.0,9.5,32.0,1019.1,21.7,24.1,,03/02/2025,14:50
10.0,8.0,11.0,,,,,1019.1,21.7,24.1,,03/02/2025,14:40
10.0,7.0,10.0,,,,,1019.1,21.8,24.1,,03/02/2025,14:30
360.0,7.0,10.0,3.8,15.0,9.7,32.0,1019.1,21.9,24.1,,03/02/2025,14:20
10.0,8.0,10.0,3.8,,9.7,32.0,1019.0,21.8,24.1,,03/02/2025,14:10
10.0,8.0,10.0,,,,,1019.0,21.8,24.1,,03/02/2025,14:00
10.0,8.0,10.0,3.7,15.0,9.6,32.0,1018.9,21.9,24.1,,03/02/2025,13:50
10.0,8.0,10.0,3.7,,9.6,32.0,1018.9,21.9,24.1,,03/02/2025,13:40
360.0,8.0,11.0,,,,,1019.0,21.9,24.1,,03/02/2025,13:30
360.0,8.0,10.0,3.8,14.0,10.1,30.0,1019.0,22.0,24.1,,03/02/2025,13:20
360.0,8.0,11.0,3.8,,10.1,30.0,1019.1,22.0,24.1,,03/02/2025,13:10
360.0,8.0,11.0,,,,,1019.2,22.1,24.1,,03/02/2025,13:00
360.0,8.0,11.0,3.4,15.0,9.8,35.0,1019.1,22.1,24.1,,03/02/2025,12:50
360.0,8.0,11.0,,,,,1019.2,22.1,24.1,,03/02/2025,12:40
360.0,8.0,10.0,,,,,1019.2,22.2,24.1,,03/02/2025,12:30
360.0,8.0,11.0,3.2,15.0,9.7,31.0,1019.2,22.2,24.1,,03/02/2025,12:20
10.0,8.0,10.0,,,,,1019.1,22.3,24.1,,03/02/2025,12:10
360.0,8.0,10.0,,,,,1019.1,22.3,24.1,,03/02/2025,12:00
360.0,8.0,11.0,3.1,16.0,9.8,41.0,1019.1,22.4,24.2,,03/02/2025,11:50
350.0,8.0,10.0,,,,,1019.1,22.2,24.2,,03/02/2025,11:40
10.0,6.0,9.0,,,,,1019.1,21.7,24.2,,03/02/2025,11:30
360.0,2.0,6.0,3.3,15.0,10.7,42.0,1019.0,21.0,24.2,,03/02/2025,11:20
360.0,2.0,4.0,3.3,,10.7,42.0,1018.9,20.7,24.2,,03/02/2025,11:10
10.0,3.0,5.0,,,,,1019.1,20.8,24.2,,03/02/2025,11:00
30.0,3.0,6.0,3.3,15.0,10.7,34.0,1019.1,20.9,24.2,,03/02/2025,10:50
20.0,4.0,7.0,,,,,1019.1,20.9,24.2,,03/02/2025,10:40
10.0,6.0,8.0,,,,,1019.2,20.9,24.2,,03/02/2025,10:30
20.0,6.0,8.0,3.2,15.0,10.5,35.0,1019.2,21.1,24.2,,03/02/2025,10:20
20.0,7.0,9.0,3.2,,10.5,35.0,1019.2,21.2,24.2,,03/02/2025,10:10
20.0,7.0,9.0,,,,,1019.3,21.3,24.2,,03/02/2025,10:00
10.0,8.0,10.0,3.0,15.0,10.5,34.0,1019.3,21.4,24.2,,03/02/2025,09:50
360.0,7.0,10.0,3.0,,10.5,34.0,1019.4,22.2,24.2,,03/02/2025,09:40
350.0,3.0,7.0,,,,,1019.4,22.9,24.2,,03/02/2025,09:30
350.0,3.0,4.0,3.4,13.0,10.8,32.0,1019.4,22.8,24.3,,03/02/2025,09:20
330.0,2.0,4.0,3.4,,10.8,32.0,1019.4,22.9,24.2,,03/02/2025,09:10
330.0,3.0,5.0,,,,,1019.5,22.8,24.2,,03/02/2025,09:00
340.0,4.0,6.0,3.3,14.0,10.7,34.0,1019.6,22.9,24.3,,03/02/2025,08:50
350.0,5.0,7.0,3.3,,10.7,34.0,1019.6,22.8,24.3,,03/02/2025,08:40
350.0,5.0,6.0,,,,,1019.7,22.7,24.3,,03/02/2025,08:30
350.0,4.0,7.0,3.2,15.0,10.7,46.0,1019.6,22.7,24.3,,03/02/2025,08:20
340.0,5.0,6.0,3.2,,10.7,46.0,1019.7,22.7,24.3,,03/02/2025,08:10
350.0,6.0,7.0,,,,,1019.6,22.7,24.3,,03/02/2025,08:00
350.0,5.0,7.0,3.2,13.0,10.4,35.0,1019.6,22.6,24.3,,03/02/2025,07:50
360.0,4.0,6.0,3.2,,10.4,35.0,1019.7,22.6,24.3,,03/02/2025,07:40
350.0,3.0,5.0,,,,,1019.7,22.6,24.3,,03/02/2025,07:30
350.0,3.0,5.0,3.0,15.0,10.3,39.0,1019.7,22.5,24.3,,03/02/2025,07:20
360.0,4.0,6.0,3.0,,10.3,39.0,1019.7,22.5,24.3,,03/02/2025,07:10
360.0,4.0,6.0,,,,,1019.7,22.4,24.3,,03/02/2025,07:00
360.0,5.0,7.0,3.0,15.0,10.3,39.0,1019.7,22.4,24.3,,03/02/2025,06:50
350.0,4.0,6.0,,,,,1019.6,22.3,24.3,,03/02/2025,06:40
340.0,3.0,5.0,,,,,1019.5,22.3,24.3,,03/02/2025,06:30
350.0,4.0,6.0,3.0,15.0,10.4,39.0,1019.4,22.3,24.3,,03/02/2025,06:20
360.0,4.0,6.0,3.0,,10.4,39.0,1019.2,22.3,24.3,,03/02/2025,06:10
360.0,4.0,7.0,,,,,1019.1,22.2,24.3,,03/02/2025,06:00
360.0,5.0,7.0,2.7,15.0,9.6,38.0,1018.9,22.2,24.3,,03/02/2025,05:50
360.0,5.0,7.0,,,,,1018.8,22.1,24.3,,03/02/2025,05:40
360.0,4.0,6.0,,,,,1018.6,22.1,24.3,,03/02/2025,05:30
360.0,4.0,6.0,3.0,14.0,10.1,44.0,1018.6,22.1,24.3,,03/02/2025,05:20
360.0,4.0,5.0,,,,,1018.5,22.1,24.3,,03/02/2025,05:10
360.0,4.0,6.0,,,,,1018.4,22.1,24.3,,03/02/2025,05:00
350.0,4.0,5.0,2.9,14.0,9.9,37.0,1018.5,22.1,24.3,,03/02/2025,04:50
360.0,4.0,6.0,2.9,,9.9,37.0,1018.4,22.1,24.4,,03/02/2025,04:40
360.0,4.0,6.0,,,,,1018.3,22.1,24.4,,03/02/2025,04:30
360.0,3.0,5.0,2.9,14.0,9.7,38.0,1018.2,22.1,24.4,,03/02/2025,04:20
360.0,3.0,6.0,2.9,,9.7,38.0,1018.2,22.1,24.4,,03/02/2025,04:10
360.0,4.0,5.0,,,,,1018.0,22.1,24.4,,03/02/2025,04:00
360.0,3.0,5.0,2.6,14.0,9.3,38.0,1018.0,22.1,24.4,,03/02/2025,03:50
360.0,4.0,7.0,,,,,1018.0,22.1,24.4,,03/02/2025,03:40
350.0,5.0,7.0,,,,,1017.9,22.0,24.4,,03/02/2025,03:30
350.0,5.0,7.0,2.6,12.0,9.3,26.0,1017.9,22.0,24.4,,03/02/2025,03:20
350.0,5.0,7.0,2.6,,9.3,26.0,1017.9,22.0,24.4,,03/02/2025,03:10
350.0,5.0,7.0,,,,,1017.9,22.0,24.4,,03/02/2025,03:00
350.0,5.0,7.0,2.8,13.0,9.3,30.0,1017.9,22.0,24.4,,03/02/2025,02:50
350.0,6.0,8.0,,,,,1017.9,22.0,24.4,,03/02/2025,02:40
350.0,5.0,8.0,,,,,1017.8,22.0,24.4,,03/02/2025,02:30
340.0,5.0,7.0,2.6,13.0,9.4,27.0,1017.7,22.0,24.4,,03/02/2025,02:20
340.0,5.0,7.0,2.6,,9.4,27.0,1017.7,22.0,24.4,,03/02/2025,02:10
340.0,6.0,8.0,,,,,1017.7,22.0,24.5,,03/02/2025,02:00
330.0,6.0,8.0,2.4,13.0,9.1,35.0,1017.7,22.0,24.5,,03/02/2025,01:50
350.0,6.0,7.0,2.4,,9.1,35.0,1017.6,22.0,24.5,,03/02/2025,01:40
340.0,5.0,7.0,,,,,1017.7,22.0,24.5,,03/02/2025,01:30
340.0,5.0,8.0,2.6,14.0,9.5,33.0,1017.7,21.9,24.5,,03/02/2025,01:20
340.0,5.0,7.0,2.6,,9.5,33.0,1017.7,21.9,24.5,,03/02/2025,01:10
340.0,5.0,7.0,,,,,1017.8,21.9,24.5,,03/02/2025,01:00
330.0,5.0,7.0,2.5,12.0,9.2,31.0,1017.8,21.9,24.5,,03/02/2025,00:50
330.0,5.0,7.0,,,,,1017.9,21.9,24.5,,03/02/2025,00:40
340.0,5.0,6.0,,,,,1017.9,21.9,24.5,,03/02/2025,00:30
330.0,5.0,7.0,2.5,13.0,9.1,24.0,1018.0,21.8,24.5,,03/02/2025,00:20
330.0,4.0,6.0,,,,,1018.2,21.8,24.5,,03/02/2025,00:10
330.0,4.0,6.0,,,,,1018.2,21.8,24.4,,03/02/2025,00:00
330.0,4.0,5.0,2.5,13.0,9.4,34.0,1018.4,21.8,24.4,,02/02/2025,23:50
330.0,3.0,5.0,2.5,,9.4,34.0,1018.4,21.8,24.4,,02/02/2025,23:40
310.0,2.0,3.0,2.6,,9.4,30.0,1018.8,21.8,24.3,,02/02/2025,23:10
320.0,2.0,4.0,,,,,1018.9,21.8,24.3,,02/02/2025,23:00
340.0,2.0,4.0,2.6,12.0,9.4,27.0,1019.0,21.7,24.4,,02/02/2025,22:50
320.0,2.0,4.0,,,,,1019.2,21.7,24.3,,02/02/2025,22:40
310.0,2.0,4.0,,,,,1019.2,21.8,24.3,,02/02/2025,22:30
320.0,2.0,3.0,2.7,13.0,9.4,37.0,1019.4,21.8,24.3,,02/02/2025,22:20
310.0,2.0,3.0,2.7,,9.4,37.0,1019.5,21.8,24.3,,02/02/2025,22:10
350.0,2.0,3.0,,,,,1019.6,21.7,24.3,,02/02/2025,22:00
340.0,1.0,3.0,2.8,13.0,9.6,29.0,1019.7,21.9,24.3,,02/02/2025,21:50
350.0,1.0,3.0,2.8,,9.6,29.0,1019.7,21.8,24.3,,02/02/2025,21:40
350.0,2.0,4.0,,,,,1019.8,21.8,24.3,,02/02/2025,21:30
330.0,2.0,3.0,2.4,13.0,8.8,26.0,1019.8,21.6,24.3,,02/02/2025,21:20
340.0,3.0,5.0,,,,,1019.9,21.6,24.2,,02/02/2025,21:10
340.0,2.0,3.0,,,,,1020.0,21.6,24.2,,02/02/2025,21:00
330.0,3.0,4.0,2.5,13.0,9.0,41.0,1020.0,21.6,24.2,,02/02/2025,20:50
340.0,2.0,4.0,2.5,,9.0,41.0,1020.0,21.7,24.2,,02/02/2025,20:40
340.0,2.0,4.0,,,,,1020.1,21.7,24.2,,02/02/2025,20:30
350.0,2.0,4.0,2.9,13.0,9.6,31.0,1020.1,21.6,24.2,,02/02/2025,20:20
330.0,2.0,4.0,,,,,1020.1,21.6,24.2,,02/02/2025,20:10
340.0,3.0,5.0,,,,,1020.0,21.5,24.2,,02/02/2025,20:00
360.0,3.0,4.0,3.1,13.0,9.7,31.0,1020.0,21.6,24.2,,02/02/2025,19:50
350.0,2.0,4.0,3.1,,9.7,31.0,1019.8,21.6,24.2,,02/02/2025,19:40
340.0,3.0,5.0,,,,,1019.8,21.4,24.2,,02/02/2025,19:30
350.0,3.0,5.0,3.0,14.0,9.6,33.0,1019.7,21.5,24.2,,02/02/2025,19:20
340.0,3.0,4.0,3.0,,9.6,33.0,1019.5,21.4,,,02/02/2025,19:10
350.0,2.0,4.0,,,,,1019.4,21.4,24.2,,02/02/2025,19:00
360.0,3.0,5.0,2.8,13.0,9.2,29.0,1019.3,21.3,24.2,,02/02/2025,18:50
10.0,3.0,5.0,2.8,,9.2,29.0,1019.1,21.3,24.2,,02/02/2025,18:40
360.0,2.0,4.0,,,,,1019.0,21.3,24.2,,02/02/2025,18:30
350.0,3.0,5.0,3.1,13.0,9.6,28.0,1018.9,21.3,24.2,,02/02/2025,18:20
10.0,3.0,6.0,3.1,,9.6,28.0,1018.8,21.2,24.2,,02/02/2025,18:10
350.0,3.0,5.0,,,,,1018.5,21.2,24.2,,02/02/2025,18:00
360.0,2.0,4.0,2.8,11.0,9.2,27.0,1018.4,21.1,24.2,,02/02/2025,17:50
360.0,3.0,4.0,2.8,,9.2,27.0,1018.2,21.0,,,02/02/2025,17:40
360.0,3.0,6.0,,,,,1018.2,21.0,24.2,,02/02/2025,17:30
10.0,3.0,5.0,2.9,14.0,9.2,32.0,1018.0,21.0,24.2,,02/02/2025,17:20
10.0,3.0,5.0,2.9,,9.2,32.0,1018.0,21.0,24.2,,02/02/2025,17:10
10.0,3.0,5.0,,,,,1017.9,20.9,24.2,,02/02/2025,17:00
360.0,3.0,6.0,2.7,12.0,8.8,27.0,1017.8,21.0,24.2,,02/02/2025,16:50
360.0,4.0,6.0,2.7,,8.8,27.0,1017.8,21.0,24.2,,02/02/2025,16:40
350.0,3.0,5.0,,,,,1017.7,21.0,24.2,,02/02/2025,16:30
360.0,4.0,6.0,3.3,13.0,9.5,22.0,1017.6,21.0,24.2,,02/02/2025,16:20
10.0,4.0,6.0,3.3,,9.5,22.0,1017.5,21.1,24.2,,02/02/2025,16:10
10.0,4.0,7.0,,,,,1017.4,21.1,24.2,,02/02/2025,16:00
360.0,5.0,7.0,3.1,13.0,9.5,21.0,1017.3,21.0,24.2,,02/02/2025,15:50
360.0,5.0,8.0,3.1,,9.5,21.0,1017.2,21.0,24.2,,02/02/2025,15:40
360.0,5.0,7.0,,,,,1017.2,21.0,24.2,,02/02/2025,15:30
350.0,5.0,7.0,2.8,13.0,9.0,29.0,1017.3,21.0,24.2,,02/02/2025,15:20
360.0,5.0,7.0,2.8,,9.0,29.0,1017.3,21.0,24.2,,02/02/2025,15:10
10.0,5.0,7.0,,,,,1017.3,21.0,24.2,,02/02/2025,15:00
360.0,5.0,7.0,3.1,13.0,9.3,24.0,1017.2,21.0,24.2,,02/02/2025,14:50
360.0,6.0,8.0,3.1,,9.3,24.0,1017.1,21.0,24.2,,02/02/2025,14:40
360.0,5.0,7.0,,,,,1017.1,21.0,24.2,,02/02/2025,14:30
360.0,5.0,8.0,2.8,13.0,8.8,25.0,1017.1,21.0,24.2,,02/02/2025,14:20
360.0,5.0,8.0,2.8,,8.8,25.0,1017.1,21.0,24.2,,02/02/2025,14:10
350.0,6.0,7.0,,,,,1017.1,20.9,24.2,,02/02/2025,14:00
360.0,5.0,7.0,3.0,12.0,9.0,19.0,1017.1,20.9,24.2,,02/02/2025,13:50
360.0,5.0,7.0,3.0,,9.0,19.0,1017.2,21.0,24.2,,02/02/2025,13:40
360.0,5.0,7.0,,,,,1017.1,21.0,24.2,,02/02/2025,13:30
360.0,5.0,7.0,3.0,14.0,9.2,27.0,1017.1,20.9,24.2,,02/02/2025,13:20
360.0,5.0,7.0,3.0,,9.2,27.0,1017.1,21.0,24.2,,02/02/2025,13:10
350.0,5.0,7.0,,,,,1017.1,21.0,24.2,,02/02/2025,13:00
360.0,5.0,7.0,3.0,14.0,9.1,27.0,1017.2,20.9,24.2,,02/02/2025,12:50
360.0,5.0,7.0,3.0,,9.1,27.0,1017.3,20.9,24.2,,02/02/2025,12:40
350.0,5.0,7.0,,,,,1017.3,20.9,24.2,,02/02/2025,12:30
360.0,5.0,7.0,2.9,13.0,9.0,22.0,1017.3,21.0,24.2,,02/02/2025,12:20
360.0,5.0,7.0,,,,,1017.4,20.9,24.2,,02/02/2025,12:10
360.0,5.0,7.0,,,,,1017.5,20.9,24.2,,02/02/2025,12:00
360.0,5.0,7.0,2.9,13.0,8.8,22.0,1017.6,21.0,24.2,,02/02/2025,11:50
360.0,5.0,7.0,2.9,,8.8,22.0,1017.6,20.9,24.2,,02/02/2025,11:40
360.0,5.0,8.0,,,,,1017.6,21.0,24.2,,02/02/2025,11:30
350.0,5.0,8.0,3.0,13.0,9.2,22.0,1017.6,21.0,24.2,,02/02/2025,11:20
360.0,6.0,8.0,,,,,1017.7,21.0,24.2,,02/02/2025,11:10
350.0,5.0,8.0,,,,,1017.7,21.0,24.2,,02/02/2025,11:00
360.0,5.0,8.0,3.0,13.0,9.3,23.0,1017.7,21.0,24.2,,02/02/2025,10:50
350.0,6.0,8.0,3.0,,9.3,23.0,1017.7,21.0,24.2,,02/02/2025,10:40
360.0,6.0,8.0,,,,,1017.7,21.0,24.2,,02/02/2025,10:30
350.0,6.0,8.0,2.9,13.0,8.9,25.0,1017.8,21.1,24.2,,02/02/2025,10:20
360.0,6.0,9.0,,,,,1017.9,21.1,24.2,,02/02/2025,10:10
360.0,6.0,8.0,,,,,1017.9,21.1,24.2,,02/02/2025,10:00
360.0,5.0,8.0,3.0,13.0,9.2,19.0,1018.0,21.1,24.2,,02/02/2025,09:50
360.0,5.0,7.0,3.0,,9.2,19.0,1018.0,21.2,24.2,,02/02/2025,09:40
360.0,5.0,8.0,,,,,1018.1,21.2,24.2,,02/02/2025,09:30
360.0,5.0,7.0,3.0,14.0,9.1,20.0,1018.0,21.2,24.2,,02/02/2025,09:20
350.0,5.0,8.0,3.0,,9.1,20.0,1018.1,21.2,24.2,,02/02/2025,09:10
350.0,5.0,7.0,,,,,1018.0,21.3,24.2,,02/02/2025,09:00
360.0,5.0,7.0,2.7,12.0,8.6,17.0,1018.0,21.3,24.2,,02/02/2025,08:50
360.0,5.0,8.0,2.6,,8.6,17.0,1018.0,21.2,24.2,,02/02/2025,08:40
350.0,6.0,8.0,,,,,1018.0,21.1,24.2,,02/02/2025,08:30
350.0,5.0,7.0,2.9,12.0,8.9,17.0,1018.0,21.2,24.2,,02/02/2025,08:20
350.0,5.0,7.0,2.9,,8.9,17.0,1017.9,21.1,24.2,,02/02/2025,08:10
350.0,5.0,7.0,,,,,1017.9,21.1,24.2,,02/02/2025,08:00
10.0,5.0,8.0,2.7,13.0,8.7,24.0,1017.8,21.1,24.2,,02/02/2025,07:50
10.0,5.0,8.0,2.7,,8.7,24.0,1017.8,21.1,24.2,,02/02/2025,07:40
350.0,5.0,7.0,,,,,1017.8,21.1,24.2,,02/02/2025,07:30
350.0,5.0,7.0,3.0,13.0,9.0,20.0,1017.7,21.1,24.2,,02/02/2025,07:20
360.0,5.0,7.0,3.0,,9.0,20.0,1017.6,21.1,24.2,,02/02/2025,07:10
350.0,5.0,7.0,,,,,1017.5,21.2,24.2,,02/02/2025,07:00
360.0,5.0,7.0,2.8,,8.8,19.0,1017.4,21.1,24.2,,02/02/2025,06:50
,,,2.8,13.0,8.8,19.0,,,,,02/02/2025,06:40
340.0,5.0,8.0,,,,,1017.3,21.1,24.2,,02/02/2025,06:30
350.0,5.0,7.0,2.9,12.0,8.3,15.0,1017.3,21.2,24.2,,02/02/2025,06:20
350.0,5.0,7.0,2.9,,8.3,15.0,1017.2,21.2,24.2,,02/02/2025,06:10
350.0,5.0,7.0,,,,,1017.1,21.1,24.2,,02/02/2025,06:00
340.0,4.0,7.0,3.2,13.0,9.2,23.0,1017.0,21.2,24.2,,02/02/2025,05:50
340.0,4.0,7.0,3.2,,9.2,23.0,1016.9,21.2,24.2,,02/02/2025,05:40
340.0,5.0,7.0,,,,,1016.8,21.1,24.3,,02/02/2025,05:30
340.0,5.0,7.0,2.9,13.0,8.7,19.0,1016.7,21.2,24.2,,02/02/2025,05:20
330.0,5.0,7.0,2.9,,8.7,19.0,1016.6,21.2,24.3,,02/02/2025,05:10
320.0,5.0,7.0,,,,,1016.6,21.2,24.3,,02/02/2025,05:00
320.0,6.0,8.0,3.1,12.0,9.0,7.0,1016.5,21.3,24.3,,02/02/2025,04:50
330.0,5.0,7.0,3.1,,9.0,7.0,1016.4,21.3,24.2,,02/02/2025,04:40
340.0,6.0,8.0,,,,,1016.4,21.3,24.3,,02/02/2025,04:30
330.0,6.0,8.0,2.9,13.0,8.5,9.0,1016.3,21.3,24.3,,02/02/2025,04:20
330.0,6.0,8.0,2.9,,8.5,9.0,1016.2,21.3,24.3,,02/02/2025,04:10
340.0,6.0,8.0,,,,,1016.2,21.4,24.3,,02/02/2025,04:00
330.0,5.0,7.0,3.0,13.0,8.7,14.0,1016.1,21.4,24.3,,02/02/2025,03:50
320.0,5.0,6.0,,,,,1015.9,21.3,24.3,,02/02/2025,03:40
320.0,5.0,7.0,,,,,1015.9,21.3,24.3,,02/02/2025,03:30
310.0,4.0,6.0,3.0,12.0,8.7,16.0,1015.8,21.4,24.3,,02/02/2025,03:20
300.0,4.0,7.0,,,,,1015.8,21.5,24.3,,02/02/2025,03:10
300.0,5.0,7.0,,,,,1015.6,21.4,24.3,,02/02/2025,03:00
310.0,4.0,7.0,2.6,13.0,8.3,10.0,1015.5,21.5,24.3,,02/02/2025,02:50
310.0,5.0,7.0,,,,,1015.4,21.4,24.3,,02/02/2025,02:40
310.0,5.0,7.0,,,,,1015.4,21.4,24.3,,02/02/2025,02:30
300.0,5.0,7.0,2.7,11.0,8.3,21.0,1015.4,21.3,24.3,,02/02/2025,02:20
320.0,5.0,6.0,2.7,,8.3,21.0,1015.3,21.3,24.3,,02/02/2025,02:10
320.0,5.0,7.0,,,,,1015.3,21.3,24.3,,02/02/2025,02:00
310.0,5.0,7.0,2.8,11.0,8.4,13.0,1015.3,21.3,24.3,,02/02/2025,01:50
320.0,5.0,7.0,2.8,,8.4,13.0,1015.2,21.2,24.3,,02/02/2025,01:40
320.0,5.0,7.0,,,,,1015.2,21.2,24.3,,02/02/2025,01:30
320.0,5.0,7.0,2.6,13.0,8.0,11.0,1015.1,21.2,24.3,,02/02/2025,01:20
320.0,6.0,7.0,,,,,1015.1,21.1,24.3,,02/02/2025,01:10
320.0,5.0,7.0,,,,,1015.1,21.1,24.3,,02/02/2025,01:00
320.0,5.0,7.0,3.0,13.0,8.4,4.0,1015.1,21.2,24.3,,02/02/2025,00:50
310.0,5.0,9.0,,,,,1015.0,21.2,24.3,,02/02/2025,00:40
330.0,5.0,8.0,,,,,1015.1,21.1,24.3,,02/02/2025,00:30
330.0,5.0,7.0,3.1,13.0,8.8,7.0,1015.1,21.1,24.3,,02/02/2025,00:20
320.0,6.0,8.0,3.1,,8.8,7.0,1015.2,21.1,24.2,,02/02/2025,00:10
320.0,5.0,8.0,,,,,1015.3,21.1,24.2,,02/02/2025,00:00
320.0,5.0,7.0,2.9,13.0,8.5,10.0,1015.3,21.1,24.2,,01/02/2025,23:50
330.0,5.0,7.0,,,,,1015.4,21.1,24.2,,01/02/2025,23:40
330.0,5.0,6.0,2.6,13.0,8.0,13.0,1015.5,21.2,24.2,,01/02/2025,23:20
330.0,5.0,8.0,,,,,1015.6,21.1,24.2,,01/02/2025,23:10
340.0,6.0,8.0,,,,,1015.7,21.1,24.2,,01/02/2025,23:00
340.0,5.0,8.0,2.9,13.0,8.5,14.0,1015.7,21.2,24.2,,01/02/2025,22:50
330.0,4.0,7.0,2.9,,8.5,14.0,1015.8,21.3,24.2,,01/02/2025,22:40
320.0,5.0,7.0,,,,,1015.8,21.2,24.2,,01/02/2025,22:30
320.0,4.0,6.0,3.1,13.0,8.3,7.0,1015.9,21.2,24.2,,01/02/2025,22:20
320.0,5.0,6.0,,,,,1016.0,21.2,24.2,,01/02/2025,22:10
320.0,5.0,7.0,,,,,1016.0,21.2,24.2,,01/02/2025,22:00
320.0,5.0,8.0,3.0,13.0,8.4,11.0,1016.1,21.1,24.2,,01/02/2025,21:50
340.0,5.0,9.0,3.0,,8.4,11.0,1016.1,21.1,24.2,,01/02/2025,21:40
330.0,6.0,8.0,,,,,1016.2,21.1,24.2,,01/02/2025,21:30
330.0,6.0,8.0,3.2,13.0,8.7,13.0,1016.3,21.2,24.2,,01/02/2025,21:20
330.0,6.0,8.0,3.2,,8.7,13.0,1016.4,21.3,24.2,,01/02/2025,21:10
340.0,6.0,8.0,,,,,1016.4,21.3,24.2,,01/02/2025,21:00
330.0,5.0,8.0,3.1,14.0,8.5,2.0,1016.4,21.4,24.2,,01/02/2025,20:50
330.0,5.0,7.0,3.1,,8.5,2.0,1016.4,21.5,24.2,,01/02/2025,20:40
320.0,6.0,8.0,,,,,1016.4,21.5,24.2,,01/02/2025,20:30
320.0,6.0,8.0,3.4,13.0,8.7,17.0,1016.3,21.5,24.2,,01/02/2025,20:20
330.0,6.0,9.0,3.4,,8.7,17.0,1016.2,21.4,24.2,,01/02/2025,20:10
330.0,6.0,9.0,,,,,1016.2,21.3,24.2,,01/02/2025,20:00
330.0,7.0,8.0,3.3,12.0,8.5,16.0,1016.0,21.3,24.2,,01/02/2025,19:50
330.0,7.0,9.0,3.3,,8.5,16.0,1015.9,21.4,24.2,,01/02/2025,19:40
320.0,6.0,8.0,,,,,1015.8,21.5,24.2,,01/02/2025,19:30
330.0,6.0,8.0,3.3,14.0,8.4,352.0,1015.7,21.5,24.2,,01/02/2025,19:20
320.0,5.0,8.0,3.3,,8.4,352.0,1015.7,21.5,24.2,,01/02/2025,19:10
330.0,5.0,8.0,,,,,1015.6,21.4,24.2,,01/02/2025,19:00
320.0,5.0,7.0,3.2,12.0,8.3,14.0,1015.5,21.2,24.2,,01/02/2025,18:50
320.0,6.0,8.0,3.2,,8.3,14.0,1015.4,21.2,24.2,,01/02/2025,18:40
320.0,5.0,7.0,,,,,1015.3,21.1,24.2,,01/02/2025,18:30
310.0,6.0,8.0,2.9,13.0,8.1,11.0,1015.1,21.1,24.2,,01/02/2025,18:20
310.0,6.0,8.0,2.9,,8.1,11.0,1015.0,21.2,24.2,,01/02/2025,18:10
