wind speed (ms),wind dir (°),wind gusts 1h (ms),T° (C°),T° max 24h (C°),T° min 24h (°),sea level pressure (hPa),Precip 1h (mm),Date,Heure
8.0,12.9,11.8,21.5,22.9,20.7,1019.0,0.0,03/02/2025,16:40
8.0,13.7,11.9,21.5,22.9,20.7,1019.0,0.0,03/02/2025,16:50
8.0,14.4,12.0,21.4,22.9,20.7,1019.0,0.0,03/02/2025,17:00
8.0,15.2,11.9,21.4,22.9,20.7,1019.0,0.0,03/02/2025,17:10
8.0,16.0,11.7,21.4,22.9,20.7,1019.0,0.0,03/02/2025,17:20
8.0,16.9,11.6,21.3,22.9,20.7,1019.0,0.0,03/02/2025,17:30
7.5,17.8,11.4,21.3,22.9,20.7,1019.0,0.0,03/02/2025,17:40
7.3,18.8,11.3,21.3,22.9,20.7,1019.0,0.0,03/02/2025,17:50
7.1,19.8,11.1,21.3,22.9,20.7,1019.0,0.0,03/02/2025,18:00
7.1,19.3,10.9,21.4,22.9,20.7,1019.0,0.0,03/02/2025,18:10
7.0,18.8,10.6,21.4,22.9,20.7,1019.1,0.0,03/02/2025,18:20
7.0,18.3,10.4,21.4,22.9,20.7,1019.2,0.0,03/02/2025,18:30
7.0,17.8,10.1,21.5,22.9,20.7,1019.2,0.0,03/02/2025,18:40
6.9,17.3,9.9,21.5,22.9,20.7,1019.3,0.0,03/02/2025,18:50
6.9,16.8,9.6,21.5,22.9,20.7,1019.3,0.0,03/02/2025,19:00
